,isExternalPostamat,id,wayInfoImagesCount,address,workTime,wayInfo,imageLocationPath,cityId,cityName,cityNameUfu,regionName,coordinates,sale,smId,fastestDatesByStore,deliveryPointType,bonus,legacyDstId,isWb,iconType,phones,country
54,False,17828,3,"г. Москва, Южнобутовская улица, д. 38",Ежедневно 10:00-21:00,,Img17828,77,Москва,moskva,Москва,"55.541050752,37.536659886",0,6,{},0,0,6253572,True,,,Russia
55,False,103680,3,"посёлок городского типа Прохоровка (Белгородская область), Первомайская улица, д.1Ж",Ежедневно 10:00-21:00,,Img103680,48566,Прохоровка,prohorovka,,"51.040104,36.720726",0,6,{},0,0,6254858,True,,,Russia
56,False,106029,3,г. Белгород (Белгородская обл) Газовиков 11,Ежедневно 10:00-21:00,,Img106029,3935,Белгород,belgorod,,"50.566719,36.600768",0,6,{},0,0,6255518,True,,,Russia
57,False,17627,3,"г. Москва, м Бауманская, Посланников переулок, д. 3с2",Ежедневно 10:00-21:00,,Img17627,77,Москва,moskva,Москва,"55.770246711,37.680839759",0,6,{},0,0,6230601,True,,,Russia
58,False,102726,3,"г. Красногорск (Московская область), улица Геологов, д. 3с1",Ежедневно 10:00-21:00,,Img102726,5475,Красногорск,krasnogorsk,,"55.831079,37.238665",0,6,{},0,0,6254578,True,,,Russia
59,False,16599,3,"г. Москва, улица Симоновский Вал, д. 15",Ежедневно 10:00-21:00,,Img16599,77,Москва,moskva,Москва,"55.721908,37.664475",0,6,{},0,0,5780206,True,,,Russia
60,False,16787,2,"г. Москва, улица Николая Старостина, д. 9",Ежедневно 10:00-21:00,,Img16787,77,Москва,moskva,Москва,"55.731524,37.853607",0,6,{},0,0,5942718,True,,,Russia
61,False,115243,3,"Малгобек (Респ Ингушетия), улица Осканова 33А  ",Ежедневно 10:00-21:00,,Img115243,2865,Малгобек,malgobek,,"43.502429,44.583526",0,6,{},0,0,6257745,True,,,Russia
62,False,1222,3,"г. Ковров (Владимирская обл.), ул. Труда, 1",Ежедневно 10:00-21:00,Самовывоз находится на пересечении проспекта Ленина и Ул Труда между банком « Промсвязьбанк» и клубом «Максимус». ,Img1222,4221,Ковров,kovrov,,"56.368004,41.311334",0,6,{},0,0,4471478,True,,,Russia
63,False,12048,3,"село Павловская Слобода (Московская область), улица Урицкого, д. 1 А",Ежедневно 10:00-21:00,"Остановка Павловская Слобода (возле церкви), переходите дорогу на светофоре, далее поворачиваете налево, огибаете автомойку с левой стороны и идете вверх по дороге с лестницей, прямо перед Вами будет двухэтажное здание, на первом этаже вывеска ""Слободские бани"", а на втором этаже ""Вайлдберриз"", с торца здания лестница на второй этаж, первая дверь слева.",Img12048,2142672,Павловская Слобода,pavlovskaya-sloboda,,"55.8126,37.0832",0,6,{},0,0,4471740,True,,,Russia
64,False,104677,3,г. Сургут (Тюменская область) Югорская  1,Ежедневно 10:00-21:00,,Img104677,6053,Сургут,surgut,,"61.241227,73.462922",0,6,{},0,0,6255470,True,,,Russia
65,False,17005,3,"г. Ковров (Владимирская область), проспект Ленина, д. 51",Ежедневно 10:00-21:00,,Img17005,4221,Ковров,kovrov,,"56.353196,41.310776",0,6,{},0,0,6058021,True,,,Russia
66,False,114538,3,"г Калининград (Калининградская область), Комсомольская 85",Ежедневно 10:00-21:00,,Img114538,4457,Калининград,kaliningrad,,"54.733065,20.475691",0,6,{},0,0,6257602,True,,,Russia
67,False,102818,3,"г. Костерёво (Владимирская область), улица Серебрянникова, д. 33",Ежедневно 10:00-21:00,,Img102818,4303,Костерево,kosterevo,,"55.932935,39.624786",0,6,{},0,0,6254919,True,,,Russia
68,False,102108,3,"г. Москва , Красная Пахра пос., д. 10",Ежедневно 10:00-21:00,,Img102108,5434,Троицк,troitsk,Москва,"55.428104,37.269906",0,6,{},0,0,6254499,True,,,Russia
69,False,114479,3,"г Москва, Гагаринский переулок 16",Ежедневно 10:00-21:00,,Img114479,77,Москва,moskva,Москва,"55.745248,37.594081",0,6,{},0,0,6257882,True,,,Russia
70,False,101269,3,"г. Севастополь, улица Курчатова, 15/6",Ежедневно 10:00-21:00,,Img101269,2109412,Севастополь,sevastopol,,"44.628574,33.570462",0,6,{},0,0,6253848,True,,,Russia
71,False,18046,3,"г. Москва, Харьковская улица, д. 2",Ежедневно 10:00-21:00,,Img18046,77,Москва,moskva,Москва,"55.587716345,37.652758517",0,6,{},0,0,6253799,True,,,Russia
72,False,105758,3,г. Иркутск (Иркутская обл) Авиастроителей 61,Ежедневно 10:00-21:00,,Img105758,4423,Иркутск,irkutsk,,"52.357302,104.213928",0,6,{},0,0,6255552,True,,,Russia
73,False,105020,3,г. Краснодар (Краснодарский край) Фадеева 243,Ежедневно 10:00-21:00,,Img105020,3332,Краснодар,krasnodar,,"45.02008,39.104394",0,6,{},0,0,6255038,True,,,Russia
74,False,108657,3,"г Лебедянь (Россия, Липецкая обл, Лебедянский р-н) Ленина 44а",Ежедневно 10:00-21:00,,Img108657,5413,Лебедянь,lebedyan,,"53.020147,39.136338",0,6,{},0,0,6255910,True,,,Russia
75,False,113388,3,"Ленинградская (Краснодарский край),  улица Ленина 125А",Ежедневно 10:00-21:00,,Img113388,35284,Ленинградская,leningradskaya,,"46.31771,39.412887",0,6,{},0,0,6257845,True,,,Russia
76,False,17646,3,"г. Дедовск (Московская область), улица Космонавта Комарова, д. 11",Ежедневно 10:00-21:00,,Img17646,5458,Дедовск,dedovsk,,"55.86465,37.126547",0,6,{},0,0,6232157,True,,,Russia
77,False,109595,3,г Ивантеевка (Московская область) Студенческий проезд 6,Ежедневно 10:00-21:00,,Img109595,5423,Ивантеевка,ivanteevka,,"55.979959,37.906495",0,6,{},0,0,6256715,True,,,Russia
78,False,16042,3,"г. Биробиджан (Еврейская автономная область), улица Шолом-Алейхема, д. 29",Ежедневно 10:00-21:00,,Img16042,6042,Биробиджан,birobidzhan,,"48.793668037,132.923458966",0,6,{},0,0,5594268,True,,,Russia
79,False,109504,3,"Томск Томская область, городской округ Томск проспект Ленина 157",Ежедневно 10:00-21:00,,Img109504,5940,Томск,tomsk,,"56.497503,84.948591",0,6,{},0,0,6256908,True,,,Russia
80,False,187,3,"г. Курск (Курская область), улица Радищева, д. 87/7",Ежедневно 10:00-21:00,"Пункт самовывоза находится на перекрестке улиц Гоголя и Радищева, а вход в наш пункт выдачи заказов будет четвертым в доме, если двигаться от улицы Радищева по Гоголя в сторону улицы Ленина.",Img187,4921,Курск,kursk,,"51.746306,36.190976",0,6,{},0,0,4499053,True,,,Russia
81,False,109786,3,г Чебоксары (Чувашская Республика) улица Фёдора Гладкова 30,Ежедневно 10:00-21:00,,Img109786,3299,Чебоксары,cheboksary,,"56.110959,47.237195",0,6,{},0,0,6256290,True,,,Russia
82,False,17072,3,"г. Ярославль (Ярославская область), проезд Доброхотова, д. 3",Ежедневно 10:00-21:00,,Img17072,6021,Ярославль,yaroslavl,,"57.654437085,39.948364224",0,6,{},0,0,6073871,True,,,Russia
83,False,18368,3,"г. Люберцы (Московская область), Комсомольский проспект, д. 24/2",Ежедневно 10:00-21:00,,Img18368,5479,Люберцы,lyubertsy,,"55.693651322,37.910702589",0,6,{},0,0,6254420,True,,,Russia
84,False,103280,3,"г. Обнинск (Калужская область), проспект Ленина, д. 91Б",Ежедневно 10:00-21:00,,Img103280,4481,Обнинск,obninsk,,"55.101835,36.598649",0,6,{},0,0,6254565,True,,,Russia
85,False,102633,3,"г. Калуга (Калужская область), Тарутинская улица, д. 231к8",Ежедневно 10:00-21:00,,Img102633,4480,Калуга,kaluga,,"54.575473,36.312331",0,6,{},0,0,6254083,True,,,Russia
86,False,104724,3,"село Кулешовка (Ростовская область), улица Ленина, д. 293И",Ежедневно 10:00-21:00,,Img104724,141536,Кулешовка,kuleshovka,,"47.082125,39.538139",0,6,{},0,0,6255034,True,,,Russia
87,False,109928,3,г Сарапул (Удмуртская Республика) улица Калинина 26А,Ежедневно 10:00-21:00,,Img109928,2975,Сарапул,sarapul,,"56.439226,53.736215",0,6,{},0,0,6256473,True,,,Russia
88,False,106558,2,г. Москва Большая Якиманка  35 стр. 1,Ежедневно 10:00-21:00,,Img106558,77,Москва,moskva,Москва,"55.734732,37.613444",0,6,{},0,0,6255573,True,,,Russia
89,False,16971,3,"дачный посёлок Лесной Городок (Московская область), улица Энергетиков, д. 1",Ежедневно 10:00-21:00,,Img16971,2300498,Лесной городок,lesnoy-gorodok,,"55.636931805,37.221262364",0,6,{},0,0,6039365,True,,,Russia
90,False,110041,3,"г Аксай Ростовская область, Аксайский район Объездная улица 7к3",Ежедневно 10:00-21:00,,Img110041,5732,Аксай,aksay,,"47.278446,39.871512",0,6,{},0,0,6256512,True,,,Russia
91,False,100822,3,"г. Ульяновск (Ульяновская область), улица Федерации, д. 148",Ежедневно 10:00-21:00,,Img100822,5972,Ульяновск,ulyanovsk,,"54.339891635,48.394139768",0,6,{},0,0,6254396,True,,,Russia
92,False,110550,3,пгт Излучинск (Тюменская область) Школьная улица 6,Ежедневно 10:00-21:00,,Img110550,188542,Излучинск,izluchinsk,,"60.953869,76.890439",0,6,{},0,0,6257067,True,,,Russia
